# power spectrum of delta
# redshift z=-0.005754
# k              Pk             sigma(k)       sigma(Pk)      count
  4.727139e+00   2.554553e+01   3.988880e-03   1.023227e-01   67944
  4.740774e+00   2.556234e+01   3.945867e-03   1.010374e-01   68204
  4.754479e+00   2.524725e+01   3.902220e-03   1.012687e-01   66684
  4.767989e+00   2.524323e+01   3.962347e-03   1.020604e-01   66264
  4.781640e+00   2.479936e+01   3.928075e-03   9.901163e-02   66368
  4.795269e+00   2.489089e+01   3.954395e-03   1.012148e-01   65100
  4.808774e+00   2.503256e+01   3.896555e-03   1.013000e-01   64644
  4.822442e+00   2.481632e+01   3.926189e-03   1.014332e-01   64440
  4.835874e+00   2.447662e+01   3.906547e-03   1.009755e-01   62668
  4.849538e+00   2.443585e+01   3.941186e-03   9.912398e-02   64696
  4.863356e+00   2.457661e+01   3.937367e-03   1.012650e-01   62820
  4.876903e+00   2.430912e+01   3.924058e-03   1.007401e-01   61920
  4.890519e+00   2.419112e+01   3.892807e-03   9.999630e-02   61532
  4.903985e+00   2.408678e+01   3.879794e-03   1.019500e-01   59952
  4.917706e+00   2.408078e+01   4.001762e-03   9.896635e-02   62460
  4.931448e+00   2.410799e+01   3.882676e-03   1.024854e-01   58644
  4.944703e+00   2.402511e+01   3.891283e-03   1.023287e-01   58188
  4.958407e+00   2.378727e+01   3.945950e-03   1.010630e-01   60044
  4.972127e+00   2.361574e+01   3.952119e-03   1.016790e-01   57780
  4.985746e+00   2.361374e+01   3.974538e-03   1.010156e-01   58380
  4.999353e+00   2.366080e+01   3.828451e-03   1.036682e-01   55508
  5.012797e+00   2.333822e+01   3.995934e-03   1.009172e-01   56964
  5.026563e+00   2.324765e+01   3.869203e-03   1.007023e-01   56148
  5.040180e+00   2.330186e+01   3.936315e-03   1.034779e-01   54468
  5.053627e+00   2.302349e+01   3.966640e-03   1.005620e-01   54540
  5.067356e+00   2.323403e+01   3.927116e-03   1.026658e-01   54512
  5.080932e+00   2.279029e+01   3.890016e-03   1.022522e-01   52488
  5.094532e+00   2.314582e+01   3.948577e-03   1.041856e-01   53400
  5.108248e+00   2.308394e+01   3.977201e-03   1.038028e-01   51972
  5.121705e+00   2.275479e+01   3.889875e-03   1.032174e-01   50924
  5.135379e+00   2.271711e+01   3.876250e-03   1.042053e-01   51120
  5.148878e+00   2.267576e+01   3.938458e-03   1.043661e-01   49116
  5.162337e+00   2.283498e+01   3.939938e-03   1.057263e-01   49920
  5.176058e+00   2.265969e+01   3.882717e-03   1.044190e-01   48692
  5.189489e+00   2.265046e+01   3.893182e-03   1.066819e-01   47532
  5.203137e+00   2.267378e+01   3.925008e-03   1.063728e-01   48312
  5.216836e+00   2.259518e+01   3.962643e-03   1.082181e-01   46704
  5.230366e+00   2.238904e+01   3.892765e-03   1.075839e-01   46328
