# power spectrum of delta
# redshift z=0.980902
# k              Pk             sigma(k)       sigma(Pk)      count
  3.135758e+00   1.114073e+01   3.897590e-03   4.825703e-02   53886
  3.149230e+00   1.104524e+01   3.937544e-03   4.713697e-02   54268
  3.162743e+00   1.111767e+01   3.939575e-03   4.734198e-02   55264
  3.176547e+00   1.120324e+01   3.942980e-03   4.703657e-02   56358
  3.190083e+00   1.102049e+01   3.916767e-03   4.685628e-02   55632
  3.203717e+00   1.104730e+01   3.912176e-03   4.647881e-02   56514
  3.217266e+00   1.113343e+01   3.982076e-03   4.684050e-02   57248
  3.230810e+00   1.093269e+01   3.904678e-03   4.576975e-02   56766
  3.244673e+00   1.099891e+01   4.094868e-03   4.445995e-02   60804
  3.258170e+00   1.097677e+01   3.776079e-03   4.623104e-02   55416
  3.271753e+00   1.111082e+01   3.996388e-03   4.518914e-02   61286
  3.285338e+00   1.109184e+01   3.833338e-03   4.640797e-02   57396
  3.298806e+00   1.104418e+01   3.991398e-03   4.485835e-02   60870
  3.312472e+00   1.110299e+01   3.883682e-03   4.521323e-02   60248
  3.326075e+00   1.106933e+01   3.982993e-03   4.503867e-02   60978
  3.339697e+00   1.110444e+01   3.918479e-03   4.464682e-02   62016
  3.353256e+00   1.096975e+01   3.912234e-03   4.467267e-02   60768
  3.366742e+00   1.103593e+01   3.948483e-03   4.442954e-02   62806
  3.380458e+00   1.103871e+01   3.971518e-03   4.377565e-02   63868
  3.394173e+00   1.101379e+01   3.950242e-03   4.417398e-02   63054
  3.407522e+00   1.102145e+01   3.889075e-03   4.403381e-02   63024
  3.421149e+00   1.108716e+01   4.000464e-03   4.374457e-02   64882
  3.434670e+00   1.099222e+01   3.899766e-03   4.346080e-02   64744
  3.448305e+00   1.098831e+01   3.892570e-03   4.257743e-02   65688
  3.461951e+00   1.111169e+01   3.915056e-03   4.355687e-02   65994
  3.475449e+00   1.102411e+01   3.920197e-03   4.299871e-02   66648
  3.489190e+00   1.094186e+01   3.861504e-03   4.227413e-02   67310
  3.502679e+00   1.108017e+01   3.876178e-03   4.274230e-02   67224
  3.516300e+00   1.107901e+01   3.864568e-03   4.328686e-02   68034
  3.529960e+00   1.096720e+01   3.966927e-03   4.163097e-02   69744
  3.543594e+00   1.092241e+01   3.885699e-03   4.250532e-02   68654
  3.557414e+00   1.101553e+01   3.971071e-03   4.100609e-02   72132
  3.571044e+00   1.097351e+01   3.879008e-03   4.213499e-02   68520
  3.584509e+00   1.103546e+01   3.898516e-03   4.162303e-02   71070
  3.598179e+00   1.093489e+01   3.958888e-03   4.149003e-02   71948
  3.611821e+00   1.091359e+01   3.929676e-03   4.103174e-02   71598
  3.625467e+00   1.106042e+01   3.942460e-03   4.079768e-02   73536
  3.639107e+00   1.093474e+01   3.937889e-03   4.140571e-02   71802
  3.652514e+00   1.111566e+01   3.891299e-03   4.183643e-02   73280
  3.666109e+00   1.108012e+01   3.935353e-03   4.157660e-02   73992
  3.679845e+00   1.092146e+01   4.017255e-03   4.013472e-02   75966
  3.693428e+00   1.098579e+01   3.879294e-03   4.084062e-02   74364
  3.707067e+00   1.105852e+01   3.965648e-03   4.058422e-02   76094
  3.720600e+00   1.105835e+01   3.905935e-03   4.103457e-02   76224
  3.734235e+00   1.099060e+01   3.912190e-03   4.032408e-02   76242
  3.747669e+00   1.117403e+01   3.927725e-03   4.096050e-02   76960
  3.761291e+00   1.101476e+01   3.936642e-03   3.976494e-02   78664
  3.775137e+00   1.108990e+01   3.964378e-03   3.990961e-02   79962
  3.788660e+00   1.099548e+01   3.891324e-03   4.048325e-02   77760
  3.802214e+00   1.106739e+01   3.906151e-03   4.009019e-02   79590
  3.815784e+00   1.106576e+01   3.980873e-03   3.980033e-02   80732
  3.829489e+00   1.104365e+01   3.955057e-03   3.963415e-02   81174
  3.843061e+00   1.121466e+01   3.897815e-03   4.027926e-02   80832
  3.856429e+00   1.111510e+01   3.890120e-03   4.023237e-02   80040
  3.870041e+00   1.123807e+01   3.937062e-03   4.022896e-02   84266
  3.883800e+00   1.113024e+01   3.965191e-03   3.954297e-02   83592
  3.897465e+00   1.136996e+01   3.910254e-03   4.071199e-02   83838
  3.910997e+00   1.127149e+01   3.872159e-03   4.038769e-02   83676
