# power spectrum of delta
# redshift z=0.980902
# k              Pk             sigma(k)       sigma(Pk)      count
  3.298806e+00   1.191235e+01   3.991398e-03   4.854670e-02   60870
  3.312472e+00   1.195767e+01   3.883682e-03   4.874512e-02   60248
  3.326075e+00   1.192700e+01   3.982993e-03   4.843325e-02   60978
  3.339697e+00   1.199114e+01   3.918479e-03   4.821195e-02   62016
  3.353256e+00   1.179255e+01   3.912234e-03   4.801607e-02   60768
  3.366742e+00   1.187410e+01   3.948483e-03   4.783256e-02   62806
  3.380458e+00   1.188812e+01   3.971518e-03   4.704815e-02   63868
  3.394173e+00   1.187777e+01   3.950242e-03   4.759926e-02   63054
  3.407522e+00   1.189503e+01   3.889075e-03   4.782067e-02   63024
  3.421149e+00   1.195799e+01   4.000464e-03   4.718944e-02   64882
  3.434670e+00   1.185030e+01   3.899766e-03   4.687607e-02   64744
  3.448305e+00   1.185911e+01   3.892570e-03   4.592518e-02   65688
  3.461951e+00   1.195388e+01   3.915056e-03   4.688613e-02   65994
  3.475449e+00   1.187498e+01   3.920197e-03   4.649864e-02   66648
  3.489190e+00   1.179016e+01   3.861504e-03   4.556586e-02   67310
  3.502679e+00   1.189218e+01   3.876178e-03   4.604079e-02   67224
  3.516300e+00   1.192068e+01   3.864568e-03   4.657617e-02   68034
  3.529960e+00   1.180852e+01   3.966927e-03   4.489677e-02   69744
  3.543594e+00   1.176327e+01   3.885699e-03   4.565284e-02   68654
  3.557414e+00   1.185690e+01   3.971071e-03   4.394900e-02   72132
  3.571044e+00   1.178873e+01   3.879008e-03   4.521882e-02   68520
  3.584509e+00   1.188213e+01   3.898516e-03   4.485366e-02   71070
  3.598179e+00   1.177174e+01   3.958888e-03   4.437115e-02   71948
  3.611821e+00   1.174987e+01   3.929676e-03   4.416351e-02   71598
  3.625467e+00   1.186439e+01   3.942460e-03   4.389119e-02   73536
  3.639107e+00   1.174962e+01   3.937889e-03   4.435671e-02   71802
  3.652514e+00   1.196577e+01   3.891299e-03   4.494116e-02   73280
  3.666109e+00   1.187957e+01   3.935353e-03   4.441498e-02   73992
  3.679845e+00   1.173896e+01   4.017255e-03   4.311697e-02   75966
  3.693428e+00   1.181361e+01   3.879294e-03   4.379771e-02   74364
  3.707067e+00   1.188390e+01   3.965648e-03   4.376627e-02   76094
  3.720600e+00   1.191243e+01   3.905935e-03   4.402419e-02   76224
  3.734235e+00   1.181877e+01   3.912190e-03   4.331032e-02   76242
  3.747669e+00   1.199515e+01   3.927725e-03   4.389200e-02   76960
  3.761291e+00   1.184643e+01   3.936642e-03   4.267359e-02   78664
  3.775137e+00   1.189202e+01   3.964378e-03   4.272500e-02   79962
  3.788660e+00   1.181569e+01   3.891324e-03   4.340116e-02   77760
  3.802214e+00   1.189331e+01   3.906151e-03   4.311491e-02   79590
  3.815784e+00   1.189411e+01   3.980873e-03   4.274807e-02   80732
  3.829489e+00   1.187046e+01   3.955057e-03   4.239851e-02   81174
  3.843061e+00   1.202364e+01   3.897815e-03   4.302948e-02   80832
  3.856429e+00   1.194397e+01   3.890120e-03   4.320930e-02   80040
  3.870041e+00   1.207748e+01   3.937062e-03   4.314212e-02   84266
  3.883800e+00   1.198728e+01   3.965191e-03   4.259795e-02   83592
  3.897465e+00   1.219370e+01   3.910254e-03   4.357450e-02   83838
  3.910997e+00   1.210319e+01   3.872159e-03   4.339426e-02   83676
  3.924583e+00   1.205458e+01   3.944483e-03   4.234878e-02   84950
  3.938101e+00   1.214675e+01   3.827494e-03   4.364152e-02   84912
  3.951789e+00   1.210420e+01   3.995013e-03   4.245141e-02   87162
  3.965420e+00   1.230060e+01   3.878666e-03   4.382380e-02   86440
  3.978946e+00   1.220199e+01   3.856469e-03   4.356952e-02   86560
  3.992604e+00   1.229441e+01   3.947133e-03   4.326050e-02   88698
  4.006224e+00   1.237051e+01   3.908165e-03   4.400835e-02   88920
  4.019914e+00   1.229064e+01   3.907564e-03   4.367188e-02   88323
  4.033463e+00   1.232554e+01   3.941385e-03   4.376085e-02   89360
  4.047191e+00   1.220414e+01   3.920678e-03   4.306474e-02   89040
  4.060772e+00   1.219558e+01   3.965659e-03   4.333948e-02   87684
  4.074289e+00   1.223245e+01   3.941664e-03   4.354655e-02   87900
  4.087951e+00   1.218184e+01   3.932995e-03   4.339727e-02   87884
  4.101525e+00   1.203118e+01   3.936703e-03   4.295911e-02   86844
  4.115106e+00   1.204638e+01   3.939490e-03   4.239573e-02   87216
  4.128692e+00   1.202519e+01   3.930534e-03   4.256982e-02   85952
  4.142291e+00   1.197730e+01   3.981611e-03   4.268443e-02   87264
  4.156016e+00   1.189787e+01   3.930927e-03   4.241836e-02   86316
  4.169516e+00   1.181904e+01   3.887819e-03   4.293727e-02   83976
  4.183033e+00   1.179311e+01   3.957351e-03   4.205821e-02   85928
  4.196752e+00   1.174398e+01   3.971860e-03   4.227260e-02   85608
  4.210347e+00   1.173553e+01   3.902488e-03   4.250773e-02   83964
  4.223963e+00   1.174300e+01   3.940777e-03   4.217820e-02   84708
  4.237476e+00   1.162577e+01   3.905502e-03   4.188767e-02   82260
  4.250988e+00   1.168842e+01   3.945996e-03   4.229528e-02   84296
  4.264733e+00   1.163884e+01   3.941065e-03   4.218592e-02   83460
  4.278231e+00   1.161074e+01   3.898421e-03   4.256618e-02   81444
  4.291717e+00   1.158922e+01   3.905830e-03   4.195442e-02   82144
  4.305327e+00   1.153549e+01   3.952156e-03   4.238878e-02   82180
  4.318919e+00   1.137576e+01   3.889070e-03   4.154087e-02   81420
  4.332623e+00   1.148161e+01   3.967259e-03   4.205186e-02   82104
  4.346159e+00   1.139195e+01   3.882328e-03   4.174968e-02   79620
  4.359759e+00   1.130087e+01   3.897281e-03   4.102214e-02   81236
  4.373418e+00   1.133882e+01   3.880312e-03   4.145223e-02   79608
  4.387029e+00   1.115711e+01   3.933006e-03   4.121047e-02   80268
  4.400643e+00   1.122243e+01   3.850171e-03   4.156572e-02   78412
