# power spectrum of delta
# redshift z=-0.005754
# k              Pk             sigma(k)       sigma(Pk)      count
  3.502679e+00   6.293066e+01   3.876178e-03   2.445260e-01   67224
  3.516300e+00   6.262723e+01   3.864568e-03   2.428582e-01   68034
  3.529960e+00   6.301159e+01   3.966927e-03   2.399362e-01   69744
  3.543594e+00   6.288096e+01   3.885699e-03   2.437425e-01   68654
  3.557414e+00   6.198862e+01   3.971071e-03   2.343875e-01   72132
  3.571044e+00   6.242923e+01   3.879008e-03   2.428595e-01   68520
  3.584509e+00   6.257765e+01   3.898516e-03   2.380207e-01   71070
  3.598179e+00   6.225291e+01   3.958888e-03   2.354779e-01   71948
  3.611821e+00   6.235781e+01   3.929676e-03   2.371029e-01   71598
  3.625467e+00   6.188580e+01   3.942460e-03   2.327468e-01   73536
  3.639107e+00   6.174903e+01   3.937889e-03   2.342458e-01   71802
  3.652514e+00   6.209170e+01   3.891299e-03   2.358019e-01   73280
  3.666109e+00   6.174588e+01   3.935353e-03   2.329667e-01   73992
  3.679845e+00   6.165048e+01   4.017255e-03   2.285872e-01   75966
  3.693428e+00   6.158918e+01   3.879294e-03   2.313997e-01   74364
  3.707067e+00   6.143135e+01   3.965648e-03   2.292564e-01   76094
  3.720600e+00   6.133174e+01   3.905935e-03   2.257980e-01   76224
  3.734235e+00   6.146807e+01   3.912190e-03   2.298541e-01   76242
  3.747669e+00   6.208652e+01   3.927725e-03   2.304885e-01   76960
  3.761291e+00   6.111847e+01   3.936642e-03   2.242532e-01   78664
  3.775137e+00   6.169903e+01   3.964378e-03   2.264530e-01   79962
  3.788660e+00   6.152657e+01   3.891324e-03   2.280257e-01   77760
  3.802214e+00   6.176643e+01   3.906151e-03   2.283874e-01   79590
  3.815784e+00   6.172302e+01   3.980873e-03   2.298564e-01   80732
  3.829489e+00   6.114529e+01   3.955057e-03   2.216194e-01   81174
  3.843061e+00   6.243746e+01   3.897815e-03   2.271456e-01   80832
  3.856429e+00   6.165013e+01   3.890120e-03   2.278719e-01   80040
  3.870041e+00   6.163542e+01   3.937062e-03   2.233257e-01   84266
  3.883800e+00   6.149627e+01   3.965191e-03   2.210539e-01   83592
  3.897465e+00   6.210904e+01   3.910254e-03   2.234110e-01   83838
  3.910997e+00   6.168016e+01   3.872159e-03   2.238204e-01   83676
  3.924583e+00   6.182277e+01   3.944483e-03   2.226661e-01   84950
  3.938101e+00   6.235706e+01   3.827494e-03   2.253306e-01   84912
  3.951789e+00   6.173922e+01   3.995013e-03   2.210501e-01   87162
  3.965420e+00   6.318184e+01   3.878666e-03   2.279737e-01   86440
  3.978946e+00   6.208471e+01   3.856469e-03   2.269184e-01   86560
  3.992604e+00   6.295826e+01   3.947133e-03   2.258734e-01   88698
  4.006224e+00   6.228593e+01   3.908165e-03   2.243220e-01   88920
  4.019914e+00   6.258472e+01   3.907564e-03   2.273745e-01   88323
  4.033463e+00   6.285722e+01   3.941385e-03   2.271055e-01   89360
  4.047191e+00   6.159210e+01   3.920678e-03   2.217971e-01   89040
  4.060772e+00   6.218342e+01   3.965659e-03   2.235511e-01   87684
  4.074289e+00   6.159634e+01   3.941664e-03   2.234565e-01   87900
  4.087951e+00   6.138932e+01   3.932995e-03   2.221609e-01   87884
  4.101525e+00   6.034545e+01   3.936703e-03   2.203459e-01   86844
  4.115106e+00   6.102300e+01   3.939490e-03   2.238659e-01   87216
  4.128692e+00   6.124094e+01   3.930534e-03   2.214858e-01   85952
  4.142291e+00   5.944756e+01   3.981611e-03   2.159470e-01   87264
  4.156016e+00   5.926594e+01   3.930927e-03   2.168363e-01   86316
  4.169516e+00   5.919787e+01   3.887819e-03   2.201689e-01   83976
  4.183033e+00   5.867230e+01   3.957351e-03   2.127659e-01   85928
  4.196752e+00   5.819827e+01   3.971860e-03   2.088943e-01   85608
  4.210347e+00   5.840840e+01   3.902488e-03   2.144421e-01   83964
  4.223963e+00   5.784741e+01   3.940777e-03   2.114315e-01   84708
  4.237476e+00   5.703167e+01   3.905502e-03   2.108217e-01   82260
  4.250988e+00   5.682464e+01   3.945996e-03   2.097107e-01   84296
  4.264733e+00   5.660968e+01   3.941065e-03   2.073079e-01   83460
  4.278231e+00   5.606560e+01   3.898421e-03   2.090780e-01   81444
  4.291717e+00   5.639832e+01   3.905830e-03   2.092707e-01   82144
  4.305327e+00   5.570950e+01   3.952156e-03   2.060034e-01   82180
  4.318919e+00   5.568826e+01   3.889070e-03   2.035294e-01   81420
  4.332623e+00   5.490621e+01   3.967259e-03   2.030146e-01   82104
  4.346159e+00   5.473691e+01   3.882328e-03   2.076454e-01   79620
  4.359759e+00   5.372020e+01   3.897281e-03   1.999319e-01   81236
  4.373418e+00   5.441425e+01   3.880312e-03   2.049439e-01   79608
  4.387029e+00   5.431376e+01   3.933006e-03   2.032388e-01   80268
  4.400643e+00   5.357777e+01   3.850171e-03   2.027093e-01   78412
  4.414192e+00   5.290467e+01   3.922071e-03   1.976294e-01   78952
  4.427933e+00   5.272138e+01   3.938715e-03   1.971997e-01   79656
  4.441606e+00   5.293131e+01   3.881671e-03   2.028953e-01   77184
  4.455081e+00   5.226137e+01   3.897139e-03   1.975986e-01   76944
  4.468742e+00   5.258112e+01   3.934255e-03   1.970986e-01   77984
  4.482318e+00   5.183648e+01   3.887487e-03   1.984890e-01   75336
  4.495891e+00   5.187124e+01   3.967951e-03   1.953882e-01   77280
  4.509585e+00   5.128965e+01   3.911883e-03   1.961351e-01   75120
  4.523186e+00   5.109748e+01   4.006918e-03   1.961297e-01   76364
  4.536881e+00   5.108917e+01   3.870669e-03   1.970568e-01   74244
  4.550448e+00   5.068470e+01   4.007133e-03   1.943045e-01   74400
  4.563952e+00   5.010913e+01   3.919594e-03   1.944867e-01   73388
  4.577709e+00   5.000440e+01   3.981865e-03   1.911315e-01   74964
  4.591267e+00   5.021586e+01   3.838052e-03   1.956342e-01   71100
  4.604865e+00   4.969169e+01   3.984832e-03   1.932627e-01   74100
  4.618437e+00   4.927930e+01   3.839966e-03   1.959302e-01   70068
  4.631915e+00   4.905674e+01   3.927566e-03   1.912727e-01   72296
  4.645712e+00   4.845692e+01   3.920569e-03   1.877701e-01   71724
  4.659287e+00   4.836231e+01   3.930407e-03   1.908960e-01   69852
  4.672792e+00   4.831780e+01   3.886828e-03   1.903772e-01   69732
  4.686387e+00   4.811348e+01   3.918196e-03   1.917604e-01   69512
  4.699982e+00   4.757581e+01   3.922067e-03   1.896369e-01   69252
  4.713606e+00   4.709116e+01   3.871092e-03   1.866327e-01   68064
  4.727139e+00   4.748391e+01   3.988880e-03   1.891803e-01   67944
  4.740774e+00   4.725032e+01   3.945867e-03   1.864070e-01   68204
  4.754479e+00   4.641396e+01   3.902220e-03   1.895858e-01   66684
  4.767989e+00   4.674374e+01   3.962347e-03   1.874299e-01   66264
  4.781640e+00   4.663295e+01   3.928075e-03   1.872631e-01   66368
  4.795269e+00   4.617825e+01   3.954395e-03   1.870840e-01   65100
  4.808774e+00   4.641546e+01   3.896555e-03   1.899902e-01   64644
  4.822442e+00   4.579614e+01   3.926189e-03   1.872028e-01   64440
  4.835874e+00   4.501191e+01   3.906547e-03   1.857939e-01   62668
  4.849538e+00   4.563852e+01   3.941186e-03   1.856590e-01   64696
  4.863356e+00   4.517509e+01   3.937367e-03   1.870726e-01   62820
  4.876903e+00   4.522870e+01   3.924058e-03   1.869846e-01   61920
  4.890519e+00   4.497030e+01   3.892807e-03   1.871684e-01   61532
  4.903985e+00   4.448266e+01   3.879794e-03   1.891027e-01   59952
  4.917706e+00   4.444013e+01   4.001762e-03   1.832493e-01   62460
  4.931448e+00   4.419299e+01   3.882676e-03   1.869419e-01   58644
  4.944703e+00   4.398063e+01   3.891283e-03   1.864768e-01   58188
  4.958407e+00   4.403954e+01   3.945950e-03   1.863852e-01   60044
  4.972127e+00   4.391592e+01   3.952119e-03   1.872040e-01   57780
  4.985746e+00   4.340547e+01   3.974538e-03   1.847183e-01   58380
  4.999353e+00   4.364374e+01   3.828451e-03   1.890302e-01   55508
  5.012797e+00   4.279997e+01   3.995934e-03   1.861415e-01   56964
  5.026563e+00   4.312799e+01   3.869203e-03   1.872690e-01   56148
  5.040180e+00   4.352987e+01   3.936315e-03   1.940281e-01   54468
  5.053627e+00   4.298043e+01   3.966640e-03   1.895270e-01   54540
  5.067356e+00   4.246200e+01   3.927116e-03   1.864226e-01   54512
  5.080932e+00   4.315266e+01   3.890016e-03   1.956194e-01   52488
  5.094532e+00   4.253529e+01   3.948577e-03   1.893179e-01   53400
  5.108248e+00   4.232787e+01   3.977201e-03   1.920068e-01   51972
  5.121705e+00   4.233649e+01   3.889875e-03   1.962658e-01   50924
  5.135379e+00   4.225867e+01   3.876250e-03   1.931181e-01   51120
  5.148878e+00   4.239804e+01   3.938458e-03   1.987004e-01   49116
  5.162337e+00   4.284268e+01   3.939938e-03   1.977040e-01   49920
  5.176058e+00   4.174300e+01   3.882717e-03   1.975483e-01   48692
  5.189489e+00   4.189999e+01   3.893182e-03   1.983476e-01   47532
  5.203137e+00   4.197296e+01   3.925008e-03   1.999583e-01   48312
  5.216836e+00   4.151859e+01   3.962643e-03   1.984854e-01   46704
  5.230366e+00   4.127431e+01   3.892765e-03   1.982515e-01   46328
  5.244111e+00   4.087633e+01   3.900492e-03   2.004544e-01   45804
