# Sharma et al. 2021, MNRAS 503, 1753 (doi:10.1093/mnras/stab249; arXiv:2005.00279) released catalogue
# "Flat rotation curves of z~1 star-forming galaxies": 344 KROSS galaxies re-modelled with 3D-Barolo.
# SOURCE: CDS/VizieR J/MNRAS/503/1753 catalog.dat (Records=344), sha256 b91ea011fd98ceacf1b30a18123da2c4a20162d78edbf383fbff37c72b57df45;
#   cross-checked C6 against the authors' Harvard Dataverse file doi:10.7910/DVN/MHRG4O
#   (gsharma_2020_catalog.fits, md5 43037198cef3cc89376984cb76a8dd61, sha256 507c2e0834957950f30d72eb99832d95ac75f31628e412351731448be859c942).
# VIZIER LABEL DEFECT: the CDS ReadMe labels Re, Vout, VPGCout, Sigma, LHa, FHa (and their errors) as log
#   quantities ([kpc], [km/s], ...). The numbers are LINEAR: they equal the Dataverse FITS columns and Re spans
#   0.695-7.73 kpc, matching the abstract's 0.69<=R_e[kpc]<=7.76. Columns here are named as linear.
# CONVENTIONS: no cosmology statement found in the arXiv source; Re, M_H, PA, magnitudes are adopted from
#   Harrison+2017 (H0=70, Om=0.3, OL=0.7, Chabrier). Quality: 1 best, 2 reasonable, 3 discarded by the authors.
# VELOCITY: Vout_kms = 3D-Barolo rotation velocity at R_out = 6.4 R_D, R_D = 0.59 R_e (beam smearing
#   handled in 3D; paper Sec. 3.1 figure caption: R_out = R_2opt = 3.78 R_e); VPGC_out_kms = same after
#   PRESSURE-GRADIENT CORRECTION (paper Sec. 3.2):
#   V_c^PGC = sqrt(V_phi^2 - sigma_R^2 [dln Sigma/dln R + dln sigma_R^2/dln R + (1-alpha)/2]).
#   => R_out_kpc = 3.78*Re_kpc (not a column; compute downstream). Sigma_kms = weighted
#   mean intrinsic dispersion. L_Ha in erg/s (10^-7 W), F_Ha in erg/s/cm^2 (mW/m^2), no extinction correction.
# STELLAR MASS: the paper's LePhare masses (supplied by A. Tiley) are NOT in the released catalogue.
#   T19_* = JOIN to Tiley2019a KROSS rows by KID (167/344 present; SED masses, WMAP9).
#   H17_* = JOIN to Harrison+2017 by KID (344/344; fixed M/L=0.2 H-band mass, H0=70; R_1/2 kpc).
# Built by scripts/highz_tf_samples_build.py on 2026-09-16.
KID,Name,Quality,Flag_PA,RAdeg,DEdeg,z,PA_deg,INC_deg,MH_AB,zmag_AB,Kmag_AB,Re_kpc,Re_err_kpc,Vout_kms,Vout_err_kms,VPGC_out_kms,VPGC_out_err_kms,Sigma_kms,Sigma_err_kms,L_Ha_erg_s,L_Ha_err_erg_s,F_Ha_erg_s_cm2,T19_logMstar_SED,T19_disky_flag,H17_logMstar_fixedML,H17_R12_kpc
104,C-zcos_z1_356,2,phot,150.34189,1.983266,0.970478,26.011,27.6291,-22.51,21.275631,20.99149,2.482924,0.744877,61.49413,9.095993,92.86892,9.73989,36.18122,3.292787,1.59201e+42,7.96005e+40,2.18785e-16,,,10.18903,2.482924
106,C-zcos_z1_460,2,phot,149.98173,2.048476,0.896229,45.78,60.7953,-22.6,21.250267,20.708572,5.50943,1.652829,204.591,15.711592,210.66105,15.45051,41.79484,3.481893,3.275e+41,1.6375e+40,5.47834e-17,9.87486,1,10.22503,5.50943
108,C-zcos_z1_462,2,phot,149.96944,2.063131,0.8873,-2.572,43.2505,-21.31,22.058037,21.718552,4.20346,1.261038,130.77,18.425789,141.0682,17.538128,14.59036,3.362131,1.27139e+41,6.35697e+39,2.17995e-17,,,9.70903,4.20346
111,C-zcos_z1_471,2,phot,149.94376,2.114781,0.894797,-49.187,73.0368,-22.8,21.419903,20.59098,5.88852,1.766556,142.934,22.912104,201.23627,17.923926,42.8813,3.486554,2.63307e+41,1.31654e+40,4.42195e-17,,,10.30503,5.88852
112,C-zcos_z1_472,2,phot,149.93803,2.086764,0.886578,62.304,34.6212,-21.68,21.751614,21.434576,3.236356,0.970907,79.66919,8.337079,81.26035,8.345685,23.76201,2.757974,1.96306e+41,9.81529e+39,3.37265e-17,,,9.85703,3.236356
116,C-zcos_z1_478,3,phot,149.91111,2.097864,0.884677,-10.662,52.7598,-22.43,21.372646,20.790583,2.457221,0.737166,92.658,10.833269,95.92475,11.007405,12.20126,3.552072,4.40048e+41,2.20024e+40,7.60041e-17,10.2551,1,10.15703,2.457221
117,C-zcos_z1_481,1,phot,149.90403,2.009161,0.848693,24.784,48.0793,-21.51,21.829258,21.664268,1.516055,0.454816,109.80337,7.813941,154.62118,10.585429,64.93661,3.73996,5.47668e+41,2.73834e+40,1.04789e-16,9.45298,0,9.78903,1.516055
118,C-zcos_z1_482,2,phot,149.90277,2.059139,0.952926,-64.95,54.5622,-22.22,21.447802,21.139364,6.064525,1.819358,239.78,30.66047,239.9079,30.645835,15.02531,3.296468,3.4765e+41,1.73825e+40,4.99806e-17,9.85892,1,10.07303,6.064525
119,C-zcos_z1_484,2,kin,149.8928,2.021861,0.855195,-56.99,42.7269,-23.03,20.800726,20.110155,4.32981,1.298943,287.073,52.542184,338.8448,44.913235,86.59423,3.679231,3.42847e+41,1.71423e+40,6.4377e-17,,,10.39703,4.32981
121,C-zcos_z1_493,2,kin,149.83053,2.029764,0.888067,-74.983,43.9493,-21.07,21.925476,21.84322,4.303485,1.291046,38.471,6.29364,42.24756,7.171142,19.54256,3.321359,6.61338e+41,3.30669e+40,1.13152e-16,,,9.61303,4.303485
122,C-zcos_z1_497,2,phot,149.81511,1.983512,0.96,50.722,34.4437,-22.78,21.218857,20.64582,5.693298,1.70799,189.796,7.516655,191.67027,7.53451,27.79767,2.370029,3.45821e+41,1.7291e+40,4.88174e-17,,,10.29703,5.693298
123,C-zcos_z1_5,3,kin,150.32104,2.08066,0.869109,-65.181,71.2907,-22.29,21.732597,20.98147,3.172548,0.951764,179.309,23.568584,193.47588,22.36466,53.607,3.835605,3.35781e+41,1.67891e+40,6.05913e-17,10.2735,1,10.101031,3.172548
124,C-zcos_z1_593,2,kin,150.34824,2.182325,0.924073,63.452,72.1145,-21.24,21.981184,21.92714,3.775371,1.132611,156.6,13.629043,175.50281,13.181204,30.66258,3.5915,3.73217e+41,1.86608e+40,5.78896e-17,9.44767,1,9.68103,3.775371
140,C-zcos_z1_629,3,kin,150.25171,2.130274,0.875383,60.149,26.8911,-21.77,21.666885,21.365023,3.861821,1.158546,103.599,14.458212,140.79976,13.534663,38.20931,4.324376,2.69556e+41,1.34778e+40,4.77858e-17,,,9.89303,3.861821
